image_id,image_path,true_label,perturbation,original_prediction,perturbed_prediction,prediction_changed,original_tb_probability,perturbed_tb_probability,probability_change,absolute_probability_change,cosine_similarity,spearman_correlation,jaccard_top10
MCUCXR_0079_0,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0079_0.png,0,brightness_plus,0,0,0,0.03943503275513649,0.04020828753709793,0.000773254781961441,0.000773254781961441,0.9073077604143656,0.754214209298341,0.5100075244544771
MCUCXR_0079_0,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0079_0.png,0,brightness_minus,0,0,0,0.03943503275513649,0.03795847296714783,-0.0014765597879886627,0.0014765597879886627,0.9307500059723269,0.7881176113503683,0.5556589147286821
MCUCXR_0079_0,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0079_0.png,0,contrast_plus,0,0,0,0.03943503275513649,0.04834063723683357,0.008905604481697083,0.008905604481697083,0.9435402955737313,0.8504620512302513,0.5962456251988546
MCUCXR_0079_0,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0079_0.png,0,contrast_minus,0,0,0,0.03943503275513649,0.04965201020240784,0.010216977447271347,0.010216977447271347,0.9544568141456852,0.8726258279542536,0.6296897839857073
MCUCXR_0079_0,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0079_0.png,0,gaussian_noise,0,0,0,0.03943503275513649,0.24438148736953735,0.20494645461440086,0.20494645461440086,0.7040414395648009,0.5928988461717443,0.23222399607024438
MCUCXR_0079_0,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0079_0.png,0,rotation,0,0,0,0.03943503275513649,0.08501975983381271,0.045584727078676224,0.045584727078676224,0.6626431199166748,0.5944086447856486,0.23647566235366604
CHNCXR_0580_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0580_1.png,1,brightness_plus,1,1,0,0.9998717308044434,0.999704897403717,-0.00016683340072631836,0.00016683340072631836,0.8377541838383535,0.592409310529302,0.35962059620596204
CHNCXR_0580_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0580_1.png,1,brightness_minus,1,1,0,0.9998717308044434,0.9999046325683594,3.2901763916015625e-05,3.2901763916015625e-05,0.7911708875992048,0.5398937717273657,0.3015955376832274
CHNCXR_0580_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0580_1.png,1,contrast_plus,1,1,0,0.9998717308044434,0.999859094619751,-1.2636184692382812e-05,1.2636184692382812e-05,0.8856857264570196,0.6910732771954988,0.4462381089651196
CHNCXR_0580_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0580_1.png,1,contrast_minus,1,1,0,0.9998717308044434,0.9998743534088135,2.6226043701171875e-06,2.6226043701171875e-06,0.8831627970776744,0.6883298461055776,0.4352739236160778
CHNCXR_0580_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0580_1.png,1,gaussian_noise,1,1,0,0.9998717308044434,0.9999499320983887,7.82012939453125e-05,7.82012939453125e-05,0.7342103134684437,0.5076526456806094,0.22680034234013938
CHNCXR_0580_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0580_1.png,1,rotation,1,1,0,0.9998717308044434,0.9999300241470337,5.829334259033203e-05,5.829334259033203e-05,0.6827414566324391,0.4880059249576114,0.18088737201365188
CHNCXR_0601_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0601_1.png,1,brightness_plus,1,1,0,0.960953414440155,0.9835980534553528,0.022644639015197754,0.022644639015197754,0.8675858669711791,0.6194194162247033,0.3965205288796103
CHNCXR_0601_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0601_1.png,1,brightness_minus,1,1,0,0.960953414440155,0.9558814167976379,-0.00507199764251709,0.00507199764251709,0.8347161196271927,0.4930815087015587,0.3235720881150244
CHNCXR_0601_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0601_1.png,1,contrast_plus,1,1,0,0.960953414440155,0.9739328026771545,0.012979388236999512,0.012979388236999512,0.8946076322492705,0.6763077047863267,0.43774179681902853
CHNCXR_0601_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0601_1.png,1,contrast_minus,1,1,0,0.960953414440155,0.9448768496513367,-0.01607656478881836,0.01607656478881836,0.8936237706167007,0.658206780091381,0.4398048500502224
CHNCXR_0601_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0601_1.png,1,gaussian_noise,1,1,0,0.960953414440155,0.9924761652946472,0.03152275085449219,0.03152275085449219,0.7287943168057934,0.46146195998290224,0.27077001013171226
CHNCXR_0601_1,/user/HS401/mn01409/Documents/Dissertation/data/Shenzhen/images/CHNCXR_0601_1.png,1,rotation,1,1,0,0.960953414440155,0.9670626521110535,0.0061092376708984375,0.0061092376708984375,0.6920721363354537,0.5068033695351702,0.2603944228112046
MCUCXR_0266_1,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0266_1.png,1,brightness_plus,1,1,0,0.9835014939308167,0.9847188591957092,0.0012173652648925781,0.0012173652648925781,0.8683680171894953,0.724830736932918,0.4546245288489417
MCUCXR_0266_1,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0266_1.png,1,brightness_minus,1,1,0,0.9835014939308167,0.9762305021286011,-0.007270991802215576,0.007270991802215576,0.8752585623633629,0.6945484564135463,0.46055312954876276
MCUCXR_0266_1,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0266_1.png,1,contrast_plus,1,1,0,0.9835014939308167,0.9835251569747925,2.3663043975830078e-05,2.3663043975830078e-05,0.8797129322928888,0.7447521134930561,0.4799410029498525
MCUCXR_0266_1,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0266_1.png,1,contrast_minus,1,1,0,0.9835014939308167,0.9849559664726257,0.001454472541809082,0.001454472541809082,0.8905620146771793,0.7546662610403374,0.4969416679098911
MCUCXR_0266_1,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0266_1.png,1,gaussian_noise,1,1,0,0.9835014939308167,0.8529453873634338,-0.1305561065673828,0.1305561065673828,0.7141820243453574,0.6104217043518922,0.26787970684862267
MCUCXR_0266_1,/user/HS401/mn01409/Documents/Dissertation/data/Montgomery/images/MCUCXR_0266_1.png,1,rotation,1,1,0,0.9835014939308167,0.9898988604545593,0.006397366523742676,0.006397366523742676,0.7227637257696052,0.5956138415682617,0.28066368857689855
